Name,Team,Nac.,Age,Height,Preffoot,Position,Number,ValuePlayer,matchesTotal,matchesStarting,minutesPerGame,goals,goalsFrequency,goalsAverage,totalShotsPerGame,bigChanceMissed,assists,touches,bigChanceCreated,keyPasses,accuratePassesPerGame,successfulPassesOwnHalf,successfulPassesOppositionHalf,successfulLongPasses,accurateChippedPasses,successfulCrossesAndCorners,interceptionsPerGame,tacklesPerGame,possessionWonFinalThird,challengesLostPerGame,totalClearancesPerGame,errorLeadToAShot,errorLeadToaGoal,penaltiesConceded,successfulDribblesPerGame,duelsWonPerGame,groundDuelsWonPerGame,aerialDuelsWonPerGame,possessionLost,fouls,wasFouled,offsides,yellowCards,yellowRedCards,redCards
oliver-torres,Sevilla,ESP,25,178 cm,Right,M,21,18.3M €,20,14,56,1,1115 min,0.05,0.5,2,3,43.3,7,1.0,25.8 (81%),10.2 (89%),16.0 (73%),3.1 (66%),3.0 (63%),0.4 (25%),0.5,1.7,0.6,1.5,0.3,0,0,0,1.0 (66%),3.5 (41%),3.3 (44%),0.3 (20%),10.2,1.2,0.7,0.0,5,0,0
joan-jordan,Sevilla,ESP,25,184 cm,Right,M,24,17.4M €,23,18,67,2,770 min,0.09,0.7,0,2,63.4,3,1.2,43.0 (87%),17.2 (89%),26.7 (81%),5.1 (80%),3.7 (76%),0.9 (30%),0.7,1.8,0.3,1.6,0.6,3,1,0,1.1 (70%),5.0 (48%),3.8 (45%),1.2 (57%),10.9,2.0,0.8,0.0,5,0,0
rony-lopes,Sevilla,POR,24,174 cm,Left,M,7,13.6M €,3,1,29,0,0.0,0.7,0,0,15.0,0,0.0,7.3 (88%),2.3 (88%),5.3 (73%),0.0 (0%),0.0 (0%),0.3 (20%),0.3,0.0,0.3,0.0,0.0,0,0,0,0.3 (33%),0.7 (20%),0.7 (25%),0.0 (0%),5.0,0.0,0.3,0.0,0,0,0,
franco-vazquez,Sevilla,ARG,31,187 cm,Left,M,22,12.8M €,23,9,39,3,300 min,0.1,0.4,0,0,29.5,0,0.3,18.0 (87%),6.9 (92%),11.1 (81%),0.7 (77%),0.7 (77%),0.0 (0%),0.3,1.0,0.4,1.0,0.3,0,0,0,0.8 (72%),4.3 (52%),3.1 (53%),1.2 (52%),5.3,0.9,1.4,0.3,4,0,0
ever-banega,Sevilla,ARG,31,174 cm,Right,M,10,8.5M €,23,22,81,2,929 min,0.09,0.8,0,6,87.4,8,1.9,59.2 (86%),22.4 (90%),38.3 (78%),7.7 (77%),5.2 (69%),1.6 (29%),0.4,1.4,0.4,1.5,0.1,0,0,0,1.8 (69%),5.5 (52%),5.0 (53%),0.6 (48%),17.3,1.0,1.8,0.1,6,0,0
fernando,Sevilla,BRA,32,183 cm,Right,M,25,6.8M €,24,24,87,1,2090 min,0.04,0.3,1,2,65.3,0,0.3,45.3 (87%),28.2 (90%),17.1 (82%),3.9 (71%),1.5 (68%),0.0 (50%),2.0,2.0,0.5,0.9,2.1,0,1,0,0.5 (79%),6.0 (57%),3.3 (57%),2.8 (58%),8.2,1.3,0.8,0.1,10,0,0
nemanja-gudelj,Sevilla,SRB,28,187 cm,Right,M,17,6.7M €,16,4,44,0,0.0,0.3,0,0,28.3,0,0.1,18.8 (88%),12.7 (93%),6.2 (79%),1.1 (55%),0.3 (31%),0.1 (100%),0.5,0.9,0.1,0.4,1.5,0,0,1,0.2 (50%),2.3 (49%),1.4 (46%),0.9 (54%),3.4,1.0,0.4,0.0,5,0,0,
jules-kounde,Sevilla,FRA,21,178 cm,Right,D,12,27M €,19,15,74,1,1406 min,0.05,0.5,1,1,54.4,0,0.2,37.0 (85%),25.8 (89%),11.3 (74%),3.2 (49%),1.3 (37%),0.1 (11%),0.7,0.8,0.1,0.3,2.9,1,0,1,0.7 (81%),4.4 (62%),1.7 (62%),2.6 (62%),8.5,0.5,0.3,0.0,3,0,0
diego-carlos,Sevilla,BRA,27,185 cm,Right,D,20,26M €,25,25,89,2,1118 min,0.08,0.6,0,0,62.6,0,0.3,42.0 (83%),31.5 (91%),10.7 (64%),4.4 (48%),2.5 (43%),0.1 (75%),1.0,1.2,0.2,0.3,5.1,0,1,1,0.3 (100%),4.4 (56%),1.8 (54%),2.6 (58%),9.2,1.4,0.3,0.1,7,0,0
sergio-reguilon,Sevilla,ESP,23,180 cm,Left,D,23,21M €,22,22,85,1,1873 min,0.05,0.5,0,4,77.9,3,1.6,39.9 (80%),18.3 (83%),22.7 (72%),2.9 (53%),2.2 (50%),1.1 (28%),1.1,2.1,0.4,1.2,1.4,0,0,0,1.7 (73%),6.5 (51%),5.3 (52%),1.2 (45%),18.1,2.0,1.6,0.1,7,0,0
