Name,Team,Nac.,Age,Height,Preffoot,Position,Number,ValuePlayer,matchesTotal,matchesStarting,minutesPerGame,goals,goalsFrequency,goalsAverage,totalShotsPerGame,bigChanceMissed,assists,touches,bigChanceCreated,keyPasses,accuratePassesPerGame,successfulPassesOwnHalf,successfulPassesOppositionHalf,successfulLongPasses,accurateChippedPasses,successfulCrossesAndCorners,interceptionsPerGame,tacklesPerGame,possessionWonFinalThird,challengesLostPerGame,totalClearancesPerGame,errorLeadToAShot,errorLeadToaGoal,penaltiesConceded,successfulDribblesPerGame,duelsWonPerGame,groundDuelsWonPerGame,aerialDuelsWonPerGame,possessionLost,fouls,wasFouled,offsides,yellowCards,yellowRedCards,redCards
juan-hernandez-garcia,Celta Vigo,ESP,25,177 cm,Left,F,7,750K €,2,0,11,0,0.0,0.0,0,0,7.5,0,1.0,2.0 (50%),0.5 (50%),2.0 (50%),0.0 (0%),0.0 (0%),0.5 (50%),0.0,0.0,0.0,0.0,0.0,0,0,0,1.5 (75%),1.5 (75%),1.5 (75%),0.0 (0%),3.5,0.0,0.0,0.0,0,0,0,
brais-mendez,Celta Vigo,ESP,23,184 cm,Left,M,23,17M €,21,11,50,0,0.0,0.5,2,1,34.2,1,0.4,16.3 (74%),4.9 (77%),11.6 (68%),0.8 (40%),0.9 (51%),0.2 (14%),0.4,0.9,0.3,0.9,0.8,0,0,0,0.8 (61%),4.3 (49%),2.9 (50%),1.4 (47%),9.8,0.9,1.4,0.1,1,0,0,
fran-beltran,Celta Vigo,ESP,21,170 cm,Right,M,8,15.6M €,20,14,63,0,0.0,0.3,2,0,40.4,0,0.5,28.5 (88%),14.0 (90%),14.6 (85%),1.6 (68%),1.2 (72%),0.1 (13%),0.6,1.4,0.5,0.9,0.7,0,0,1,0.8 (71%),2.9 (44%),2.5 (50%),0.4 (25%),6.2,0.6,0.4,0.0,2,0,1,
denis-suarez,Celta Vigo,ESP,26,176 cm,Right,M,6,12.9M €,20,16,66,1,1325 min,0.05,0.5,1,3,49.2,5,1.8,24.2 (82%),7.6 (88%),17.7 (71%),0.9 (62%),0.9 (49%),1.0 (25%),0.7,0.7,0.3,1.0,0.5,0,0,0,2.4 (55%),4.8 (44%),4.6 (45%),0.2 (25%),14.2,0.7,1.5,0.0,3,0,0
rafinha-alcantara,Celta Vigo,BRA,27,174 cm,Left,M,12,12.5M €,22,19,75,2,822 min,0.09,0.6,1,1,70.4,2,1.0,42.0 (87%),15.9 (92%),26.2 (82%),2.0 (67%),1.3 (59%),0.2 (14%),1.2,2.2,0.5,1.4,0.6,0,0,0,2.0 (63%),8.8 (57%),7.8 (59%),1.0 (47%),12.5,1.1,3.6,0.1,2,0,0
okay-yokuslu,Celta Vigo,TUR,26,190 cm,Right,M,5,7.3M €,16,16,85,0,0.0,0.2,0,1,60.3,1,0.4,36.9 (80%),21.1 (85%),15.9 (75%),1.1 (43%),1.3 (48%),0.1 (33%),1.4,1.6,0.6,0.8,3.4,1,0,0,1.1 (81%),6.8 (50%),3.1 (43%),3.6 (59%),12.3,1.9,0.6,0.0,3,0,0,
pape-cheikh,Celta Vigo,ESP,22,180 cm,Right,M,24,7.2M €,14,5,39,0,0.0,0.0,0,1,21.9,1,0.3,15.1 (90%),7.3 (93%),7.9 (87%),0.9 (80%),0.3 (57%),0.0 (0%),0.1,0.6,0.1,0.6,0.2,0,0,0,0.4 (63%),2.2 (40%),1.9 (42%),0.3 (31%),3.1,1.5,1.0,0.0,4,1,0,
filip-bradaric,Celta Vigo,CRO,28,185 cm,Right,M,14,4.4M €,4,3,54,0,0.0,0.0,0,0,34.8,0,0.3,21.5 (75%),13.8 (85%),8.0 (63%),1.0 (44%),0.8 (30%),0.3 (50%),0.8,0.8,0.3,0.5,1.8,0,0,0,0.0 (0%),1.8 (47%),0.8 (38%),1.0 (57%),8.0,0.8,0.0,0.0,0,0,1,
hugo-mallo,Celta Vigo,ESP,28,174 cm,Right,D,2,8.7M €,21,18,75,0,0.0,0.2,1,1,60.8,0,0.4,29.5 (79%),14.7 (88%),15.2 (65%),2.1 (42%),1.9 (45%),0.4 (13%),0.9,2.3,0.2,0.8,3.1,1,0,0,0.1 (60%),5.2 (61%),3.5 (62%),1.7 (60%),13.2,1.1,1.0,0.1,7,0,0,
jeison-murillo,Celta Vigo,COL,27,182 cm,Right,D,21,7.7M €,8,8,90,0,0.0,0.1,0,0,47.1,0,0.0,27.9 (84%),22.6 (91%),5.3 (62%),2.5 (48%),1.9 (56%),0.0 (0%),1.1,2.5,0.1,0.3,5.6,2,0,0,0.1 (100%),6.8 (61%),3.5 (68%),3.3 (55%),6.3,1.3,1.0,0.4,2,0,0,
joseph-aidoo,Celta Vigo,GHA,24,184 cm,Right,D,18,7.4M €,23,21,82,0,0.0,0.3,2,1,51.6,1,0.0,34.9 (87%),26.0 (92%),8.9 (75%),2.3 (54%),1.0 (43%),0.0 (0%),1.6,1.3,0.0,0.4,3.9,0,2,2,0.3 (67%),4.0 (58%),2.2 (64%),1.8 (52%),6.1,0.6,0.7,0.0,4,0,0,
nestor-araujo,Celta Vigo,MEX,28,189 cm,Right,D,4,6.8M €,25,24,87,1,2174 min,0.04,0.3,1,1,58.3,1,0.1,39.8 (84%),29.3 (89%),10.5 (72%),2.5 (44%),1.3 (40%),0.0 (0%),1.5,1.4,0.1,0.4,4.4,0,0,0,0.0 (50%),4.5 (62%),1.7 (59%),2.8 (64%),8.0,0.8,0.3,0.0,8,0,0
lucas-olaza,Celta Vigo,URU,25,175 cm,Left,D,15,3.8M €,25,25,90,1,2248 min,0.04,0.4,0,3,71.0,7,1.1,37.0 (79%),20.3 (85%),18.1 (62%),1.8 (31%),2.7 (41%),1.4 (24%),1.0,1.6,0.3,0.6,1.5,0,1,0,0.4 (53%),3.4 (51%),2.6 (57%),0.8 (38%),17.5,0.8,0.7,0.0,4,0,0
jorge-saenz,Celta Vigo,ESP,23,192 cm,Right,D,16,1.9M €,3,2,44,0,0.0,0.0,0,0,33.7,0,0.0,25.0 (86%),19.7 (94%),5.3 (67%),3.3 (67%),0.7 (40%),0.0 (0%),0.7,1.7,0.0,0.0,1.0,0,0,0,0.0 (0%),2.7 (67%),2.0 (75%),0.7 (50%),4.3,0.7,0.3,0.0,1,0,1,
david-junca,Celta Vigo,ESP,26,175 cm,Left,D,17,1.5M €,3,3,86,0,0.0,0.0,0,0,60.7,0,0.0,30.7 (79%),17.7 (83%),13.7 (61%),1.3 (33%),0.3 (14%),0.7 (14%),0.7,2.0,0.0,0.3,1.0,0,0,0,0.7 (50%),6.0 (69%),5.0 (65%),1.0 (100%),14.7,1.7,2.3,0.3,1,0,0,
kevin-vazquez,Celta Vigo,ESP,27,173 cm,Right,D,20,940K €,9,9,82,0,0.0,0.0,0,0,64.4,0,0.3,33.4 (80%),18.1 (80%),15.6 (75%),1.7 (58%),1.4 (57%),0.2 (13%),1.4,1.0,0.2,0.9,1.2,0,0,0,0.8 (64%),4.8 (54%),3.2 (53%),1.6 (58%),12.9,1.1,1.4,0.1,5,0,0,
jose-fontan,Celta Vigo B,ESP,20,D,31,110K €,None,None,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ruben-blanco,Celta Vigo,ESP,24,188 cm,Right,G,13,6.2M €,25,25,90,0,0.0,0.0,0,0,36.6,0,0.0,15.5 (57%),10.6 (84%),4.8 (33%),6.4 (35%),1.1 (47%),0.0 (0%),0.0,0.0,0.0,0.0,1.0,1,0,1,0.0 (0%),0.4 (85%),0.1 (67%),0.4 (90%),12.0,0.0,0.2,0.0,4,0,0,
sergio-alvarez,Celta Vigo,ESP,33,179 cm,Right,G,1,1.5M €,2,2,90,0,0.0,0.0,0,0,29.0,0,0.0,16.5 (69%),15.5 (84%),1.0 (18%),4.0 (36%),1.0 (29%),0.0 (0%),0.0,0.0,0.0,0.0,0.5,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),7.5,0.0,0.0,0.0,1,0,0,
ivan-villar,Celta Vigo,ESP,22,183 cm,Right,G,25,320K €,1,1,90,0,0.0,0.0,0,0,0,0.0,8.0 (38%),6.0 (50%),2.0 (22%),4.0 (27%),0.0 (0%),0.0,0.0,0.0,0.0,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0,0,0,,,,,
raul-de-tomas,Espanyol,ESP,25,181 cm,Right,F,11,22M €,6,6,90,4,135 min,0.7,2.8,3,0,42.3,0,0.5,15.5 (76%),6.0 (78%),9.7 (73%),1.2 (54%),0.7 (57%),0.2 (25%),0.5,1.0,1.7,1.2,0.3,0,0,0,3.8 (79%),8.0 (44%),6.7 (57%),1.3 (21%),12.2,1.3,1.8,0.5,1,0,0
wu-lei,Espanyol,CHN,28,174 cm,Right,F,7,10.7M €,22,14,53,3,385 min,0.1,1.0,5,0,18.7,2,0.5,6.0 (68%),2.5 (78%),3.7 (56%),0.1 (27%),0.2 (45%),0.1 (17%),0.6,0.5,0.2,1.1,0.3,1,0,0,0.5 (55%),2.3 (37%),1.4 (37%),0.9 (38%),6.0,0.6,0.5,0.4,2,0,0
jonathan-calleri,Espanyol,ARG,26,181 cm,Right,F,12,7.8M €,19,15,72,1,1362 min,0.05,1.6,4,3,27.7,5,0.8,7.2 (54%),1.9 (77%),5.6 (46%),0.3 (55%),0.4 (64%),0.3 (25%),0.3,0.6,0.7,0.9,1.0,0,0,0,0.7 (54%),8.0 (46%),2.7 (40%),5.3 (50%),11.6,1.8,1.7,0.4,2,0,0
facundo-ferreyra,Espanyol,ARG,29,185 cm,Right,F,9,4.1M €,4,2,54,1,217 min,0.3,1.0,1,0,16.3,1,1.0,9.3 (77%),3.0 (86%),6.3 (74%),0.0 (0%),0.3 (100%),0.0 (0%),0.0,0.5,0.5,0.5,0.3,0,0,0,0.0 (0%),2.5 (40%),1.3 (42%),1.3 (38%),3.5,0.5,0.8,0.5,0,0,0
victor-campuzano,Espanyol,ESP,22,174 cm,Left,F,31,3.1M €,13,7,54,0,0.0,0.7,2,0,18.5,0,0.1,5.5 (63%),2.1 (75%),3.5 (53%),0.2 (25%),0.3 (44%),0.0 (0%),0.1,0.8,0.6,1.2,0.2,0,0,0,0.5 (64%),3.0 (32%),2.2 (34%),0.8 (28%),7.7,1.7,0.8,0.8,2,0,0,
mohamed-ezzarfani,Espanyol,MAR,22,176 cm,F,11,None,290K €,1,1,90,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marc-roca,Espanyol,ESP,23,184 cm,Left,M,21,21M €,24,24,86,2,1037 min,0.08,0.5,1,1,61.9,3,0.8,39.0 (80%),17.7 (87%),21.7 (73%),4.4 (55%),4.3 (55%),0.4 (29%),1.0,2.4,0.4,1.4,1.5,1,1,0,0.4 (63%),4.5 (41%),3.4 (42%),1.1 (38%),13.2,2.3,0.7,0.0,7,0,0
sergi-darder,Espanyol,ESP,26,180 cm,Right,M,10,13M €,26,24,82,2,1060 min,0.08,1.1,3,1,43.7,4,1.1,22.5 (74%),8.5 (81%),14.7 (67%),2.0 (54%),1.7 (47%),0.6 (32%),0.8,1.4,0.7,1.5,0.6,0,1,0,0.6 (48%),3.7 (47%),2.8 (43%),0.9 (62%),12.2,0.9,0.9,0.0,2,0,0
matias-vargas,Espanyol,ARG,22,168 cm,Right,M,22,11.8M €,16,10,59,0,0.0,0.6,1,3,35.3,5,1.1,13.6 (70%),4.1 (80%),10.0 (61%),0.5 (40%),0.6 (39%),0.6 (24%),0.1,0.8,0.7,1.1,0.3,0,0,0,1.4 (53%),3.4 (37%),3.3 (40%),0.1 (14%),13.5,0.5,1.1,0.1,1,0,0,
oscar-melendo,Espanyol,ESP,22,167 cm,Left,M,14,8M €,14,7,46,0,0.0,0.1,0,0,19.2,0,0.7,11.1 (83%),3.5 (84%),7.7 (80%),0.2 (43%),0.5 (58%),0.1 (20%),0.1,0.5,0.1,0.5,0.1,0,0,0,0.4 (63%),2.5 (49%),2.2 (53%),0.3 (33%),4.3,0.4,1.4,0.0,0,0,0,
adrian-embarba,Espanyol,ESP,27,173 cm,Right,M,23,6.4M €,7,6,75,2,264 min,0.3,1.3,0,1,41.0,2,1.3,8.0 (56%),2.3 (57%),6.9 (41%),0.4 (18%),0.1 (13%),1.1 (18%),0.6,3.0,0.4,1.3,0.4,0,0,0,1.4 (43%),6.0 (46%),5.7 (49%),0.3 (20%),17.6,1.4,1.3,0.1,2,0,0
victor-sanchez,Espanyol,ESP,32,174 cm,Right,M,4,2.9M €,21,19,76,0,0.0,0.4,0,1,56.6,0,1.0,31.6 (81%),14.9 (90%),17.6 (68%),1.9 (44%),1.5 (44%),0.9 (26%),1.2,3.0,0.5,1.9,0.9,0,1,2,0.6 (75%),6.4 (49%),4.8 (49%),1.7 (50%),12.5,2.2,1.4,0.0,9,1,0,
ander-iturraspe,Espanyol,ESP,31,187 cm,Right,M,8,2.4M €,6,2,32,0,0.0,0.0,0,0,12.3,0,0.0,7.0 (70%),3.8 (85%),3.2 (58%),0.5 (33%),0.7 (80%),0.0 (0%),0.2,0.3,0.2,0.3,0.7,0,0,0,0.2 (100%),2.2 (52%),0.7 (40%),1.5 (60%),3.2,0.7,0.2,0.0,1,0,0,
victor-gomez,Espanyol,ESP,20,169 cm,Right,M,34,2.4M €,13,10,69,0,0.0,0.2,0,0,48.4,0,0.6,17.8 (68%),8.1 (76%),10.5 (55%),1.2 (41%),0.6 (33%),0.8 (20%),0.9,0.8,0.3,0.8,1.0,0,0,1,0.5 (43%),3.3 (43%),2.7 (51%),0.6 (26%),14.2,1.1,1.5,0.0,2,0,0,
alfa-semedo,Nottingham Forest,GBS,22,190 cm,Right,M,17,1.9M €,22,10,43,2,478 min,0.09,0.7,1,0,24.8,0,0.4,9.8 (70%),4.0 (81%),6.0 (61%),0.5 (48%),0.6 (72%),0.1 (20%),0.5,1.4,0.1,0.9,0.7,0,0,1,0.5 (43%),4.4 (45%),2.5 (43%),1.9 (48%),8.0,1.0,0.6,0.0,3,0,0
pol-lozano,Espanyol B,ESP,20,176 cm,Right,M,26,1.5M €,6,4,65,0,0.0,0.5,0,0,57.2,1,0.8,44.0 (94%),14.0 (97%),30.7 (90%),2.7 (84%),2.2 (65%),0.7 (40%),0.8,1.8,0.5,1.3,0.2,0,0,0,0.3 (100%),3.2 (46%),3.0 (47%),0.2 (33%),5.8,1.7,1.0,0.0,0,0,0,
pipa,Espanyol,ESP,22,175 cm,Right,M,2,530K €,3,2,65,0,0.0,0.7,0,3,49.0,1,1.7,18.0 (76%),8.7 (79%),10.3 (66%),1.3 (36%),0.7 (33%),1.0 (33%),1.3,1.7,0.3,0.3,0.7,0,0,0,2.0 (60%),4.7 (48%),4.7 (48%),0.0 (0%),15.3,2.7,1.0,0.3,0,0,0,
nicolas-melamed,Espanyol B,ESP,18,173 cm,Right,M,33,275K €,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
leandro-cabrera,Espanyol,URU,28,190 cm,Left,D,18,10.3M €,25,25,86,2,1080 min,0.08,0.3,3,0,45.0,1,0.2,18.0 (56%),9.7 (74%),8.3 (43%),5.6 (39%),3.4 (41%),0.0 (11%),1.2,0.9,0.1,0.5,4.1,1,0,0,0.1 (100%),4.5 (54%),1.5 (51%),3.0 (56%),16.9,0.9,0.5,0.0,4,0,0
adria-pedrosa,Espanyol,ESP,21,176 cm,Left,D,3,9.7M €,14,9,61,1,859 min,0.07,0.8,1,0,37.1,0,0.2,14.9 (78%),8.2 (89%),6.9 (59%),1.0 (37%),0.6 (43%),0.3 (15%),0.6,0.8,0.3,1.2,1.2,0,0,0,1.1 (63%),3.1 (48%),2.6 (49%),0.4 (46%),10.4,0.5,0.8,0.1,1,0,0
david-lopez,Espanyol,ESP,30,185 cm,Right,D,15,6.8M €,21,18,71,2,750 min,0.10,0.3,0,2,51.4,1,0.6,32.8 (79%),20.0 (88%),13.0 (67%),2.7 (41%),1.9 (43%),0.2 (50%),1.1,1.1,0.4,1.0,1.9,3,0,0,0.0 (33%),4.4 (49%),2.0 (43%),2.4 (56%),10.6,1.2,0.9,0.0,3,1,0
bernardo-espinosa,Espanyol,COL,30,192 cm,Right,D,20,6.2M €,18,18,90,2,810 min,0.1,0.7,1,0,49.3,1,0.2,26.2 (68%),19.5 (83%),6.7 (45%),3.1 (35%),2.0 (48%),0.0 (0%),0.9,0.9,0.0,0.5,4.2,1,1,0,0.1 (50%),6.1 (57%),1.7 (48%),4.4 (62%),13.0,1.2,0.8,0.1,4,0,0
fernando-calero,Espanyol,ESP,24,183 cm,Right,D,24,5.3M €,14,11,70,0,0.0,0.0,0,0,49.1,0,0.0,34.9 (85%),25.7 (93%),9.2 (69%),2.0 (41%),1.0 (39%),0.0 (0%),0.5,0.9,0.0,0.6,2.9,0,1,0,0.1 (100%),2.4 (46%),1.4 (53%),1.0 (40%),6.5,0.5,0.4,0.0,4,0,1,
didac-vila,Espanyol,ESP,30,184 cm,Left,D,17,4.1M €,21,19,83,0,0.0,0.3,1,0,55.2,0,0.5,21.9 (67%),10.8 (77%),11.4 (54%),1.8 (32%),0.8 (28%),0.3 (13%),1.5,2.5,0.1,1.2,2.0,0,0,0,0.3 (47%),5.8 (52%),3.6 (56%),2.2 (46%),15.6,1.0,1.0,0.1,5,0,0,
sebastien-corchia,Espanyol,FRA,29,176 cm,Right,D,18,2.1M €,4,4,90,0,0.0,0.0,0,1,67.3,2,1.5,21.0 (71%),8.0 (78%),14.8 (53%),1.0 (25%),1.3 (56%),1.8 (21%),1.0,1.0,0.3,0.8,2.5,0,0,0,0.8 (33%),5.5 (56%),4.3 (57%),1.3 (56%),23.8,0.5,2.5,0.5,0,0,0,
naldo,Espanyol,BRA,31,188 cm,Right,D,5,2.1M €,4,4,89,0,0.0,0.0,0,0,80.8,0,0.0,64.8 (91%),44.3 (95%),20.5 (84%),5.5 (65%),3.0 (57%),0.0 (0%),0.8,1.5,0.0,1.3,3.3,0,0,0,0.3 (50%),2.5 (36%),1.8 (41%),0.8 (27%),8.3,0.5,0.0,0.0,0,0,0,
javi-lopez,Espanyol,ESP,34,180 cm,Right,D,16,1M €,14,13,80,0,0.0,0.1,0,0,51.6,2,0.5,20.3 (70%),10.2 (80%),10.4 (58%),2.1 (38%),1.4 (46%),0.4 (21%),1.4,2.7,0.5,1.2,2.1,1,1,1,1.1 (70%),6.7 (57%),5.3 (59%),1.4 (53%),13.1,1.6,1.5,0.0,4,1,0,
oier-olazabal,Espanyol,ESP,30,190 cm,Left,G,1,1.9M €,1,1,90,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diego-lopez,Espanyol,ESP,38,196 cm,Right,G,13,1.1M €,27,27,90,0,0.0,0.0,0,0,37.1,0,0.0,15.1 (52%),9.7 (83%),5.4 (32%),7.1 (34%),0.9 (40%),0.0 (0%),0.1,0.0,0.0,0.0,0.6,0,0,0,0.1 (100%),0.5 (87%),0.3 (89%),0.2 (83%),14.1,0.0,0.2,0.0,3,1,0,
andres-prieto,Espanyol,ESP,26,193 cm,Right,G,1,210K €,4,4,90,0,0.0,0.0,0,0,31.5,0,0.0,10.8 (41%),4.8 (66%),6.0 (31%),7.8 (33%),0.0 (0%),0.0,0.0,0.0,0.0,0.8,0,0,0,0.3 (100%),0.5 (100%),0.3 (100%),0.3 (100%),16.0,0.0,0.0,0.0,0,0,0,,
borja-iglesias,Real Betis,ESP,27,187 cm,Right,F,9,21M €,24,15,58,3,461 min,0.1,0.8,1,2,17.5,4,0.6,7.4 (75%),2.9 (89%),4.5 (67%),0.3 (70%),0.3 (78%),0.0 (25%),0.1,0.3,0.2,0.3,0.5,0,0,1,0.4 (42%),2.5 (36%),1.2 (31%),1.3 (43%),5.9,1.1,0.5,0.5,1,0,1
loren-moron,Real Betis,ESP,26,188 cm,Right,F,16,18.6M €,26,16,60,9,173 min,0.3,1.3,5,2,18.8,5,0.5,5.1 (66%),2.2 (80%),3.0 (58%),0.3 (67%),0.1 (33%),0.1 (33%),0.3,0.6,0.3,0.5,0.5,0,0,0,0.3 (36%),3.6 (45%),2.3 (47%),1.3 (43%),6.5,0.8,1.3,0.8,2,0,1
juanmi,Real Betis,ESP,26,169 cm,Right,F,7,4.6M €,2,1,40,0,0.0,1.5,0,0,7.5,0,0.0,2.0 (80%),1.0 (100%),1.0 (67%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.5,0.0,0,0,0,0.0 (0%),0.5 (33%),0.0 (0%),0.5 (50%),3.0,0.0,0.0,0.0,0,0,0,
raul-garcia,Real Betis,ESP,19,192 cm,Right,F,35,None,3,0,7,0,0.0,0.0,0,0,3.0,0,0.0,1.3 (57%),0.3 (33%),1.0 (75%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.7,0.0,0,0,0,0.0 (0%),0.3 (20%),0.0 (0%),0.3 (33%),1.3,0.0,0.0,0.0,0,0,0,
nabil-fekir,Real Betis,FRA,26,173 cm,Left,M,8,43M €,22,21,83,7,260 min,0.3,2.5,2,3,51.5,2,1.2,22.0 (82%),5.9 (84%),16.6 (77%),1.0 (51%),0.9 (51%),0.5 (30%),0.4,1.5,1.0,1.0,0.1,0,0,0,3.3 (66%),9.4 (55%),8.5 (56%),0.9 (43%),13.0,2.1,3.8,0.3,6,1,0
sergio-canales,Real Betis,ESP,29,176 cm,Left,M,10,27M €,26,26,88,4,574 min,0.2,1.0,4,4,71.5,4,2.1,49.5 (88%),23.7 (93%),26.8 (78%),3.3 (66%),2.5 (53%),1.0 (28%),0.3,0.7,0.3,0.6,0.4,0,0,1,1.3 (73%),3.3 (46%),3.2 (52%),0.1 (12%),13.0,0.7,1.2,0.0,4,0,0
william-carvalho,Real Betis,POR,28,187 cm,Right,M,14,19.2M €,9,9,79,0,0.0,0.6,0,0,61.8,1,0.6,46.6 (88%),23.6 (91%),23.0 (85%),2.9 (68%),2.4 (67%),0.0 (0%),0.4,0.4,0.4,1.1,0.9,1,0,0,1.8 (84%),4.3 (51%),2.8 (45%),1.6 (67%),8.1,1.2,0.6,0.0,4,0,1,
carles-alena,Real Betis,ESP,22,180 cm,Left,M,24,19M €,12,6,51,0,0.0,0.4,1,0,38.5,0,0.2,26.3 (87%),7.2 (89%),19.2 (85%),1.3 (65%),1.3 (71%),0.0 (0%),0.1,1.1,0.4,0.8,0.0,0,0,0,0.8 (56%),3.4 (47%),3.3 (54%),0.2 (13%),6.5,0.8,1.3,0.2,2,0,0,
alfonso-pedraza,Real Betis,ESP,23,184 cm,Left,M,6,11.6M €,12,9,66,0,0.0,0.4,0,0,48.5,1,0.6,20.5 (75%),11.7 (80%),9.3 (64%),1.3 (33%),0.8 (33%),0.4 (28%),0.8,1.7,0.2,0.7,1.3,0,0,0,0.9 (65%),4.0 (60%),3.6 (62%),0.4 (45%),11.8,0.8,1.1,0.1,1,0,0,
guido-rodriguez,Real Betis,ARG,25,185 cm,Right,M,21,10.4M €,5,2,36,0,0.0,0.0,0,0,21.4,0,0.0,12.8 (85%),9.4 (87%),3.4 (81%),0.6 (75%),0.8 (80%),0.0 (0%),0.8,0.6,0.2,0.4,1.6,0,0,0,0.2 (50%),2.0 (53%),1.4 (47%),0.6 (75%),3.4,0.6,0.6,0.2,2,0,0,
diego-lainez,Real Betis,MEX,19,168 cm,Left,M,20,9.2M €,10,1,21,0,0.0,0.2,0,0,13.2,0,0.2,4.7 (77%),0.9 (90%),3.9 (67%),0.1 (100%),0.0 (0%),0.1 (14%),0.1,0.5,0.0,0.1,0.1,0,0,0,0.9 (56%),2.5 (48%),2.4 (56%),0.1 (11%),4.3,0.4,1.0,0.0,0,0,0,
cristian-tello,Real Betis,ESP,28,178 cm,Both,M,11,5.8M €,18,3,26,1,470 min,0.06,0.5,3,0,16.3,0,0.2,8.8 (78%),2.6 (82%),6.4 (69%),0.4 (67%),0.4 (70%),0.2 (15%),0.1,0.2,0.1,0.1,0.0,0,0,0,0.4 (67%),0.8 (52%),0.7 (59%),0.1 (29%),4.4,0.2,0.1,0.0,0,0,0
andres-guardado,Real Betis,MEX,33,169 cm,Left,M,18,4.4M €,20,18,77,0,0.0,0.5,1,3,49.2,2,1.1,31.7 (84%),14.7 (88%),17.2 (80%),2.8 (64%),2.3 (53%),0.2 (31%),0.7,1.1,0.4,1.1,1.0,1,0,1,0.8 (70%),3.2 (39%),2.7 (42%),0.5 (28%),9.4,1.5,0.8,0.1,9,0,0,
joaquin,Real Betis,ESP,38,180 cm,Right,M,17,2.1M €,26,21,66,8,215 min,0.3,0.7,4,2,45.2,6,1.8,26.5 (83%),7.7 (87%),19.5 (75%),1.1 (66%),1.5 (63%),0.6 (23%),0.5,0.5,0.5,0.3,0.5,1,0,0,1.7 (67%),3.5 (53%),3.0 (57%),0.5 (36%),10.7,0.4,0.8,0.2,3,0,0
antonio-barragan,Real Betis,ESP,32,186 cm,Right,M,19,2.1M €,7,4,60,0,0.0,0.0,0,1,47.0,1,0.7,26.0 (85%),10.0 (86%),16.3 (75%),0.7 (38%),1.3 (56%),0.3 (11%),1.0,0.6,0.1,0.3,2.7,0,0,1,0.3 (50%),3.0 (55%),2.1 (58%),0.9 (50%),9.1,0.9,1.3,0.0,1,0,0,
edgar-gonzalez,Real Betis,ESP,23,193 cm,Right,M,32,970K €,7,7,79,0,0.0,0.4,1,0,46.4,0,0.0,32.6 (86%),22.9 (90%),9.7 (78%),1.6 (48%),1.3 (60%),0.0 (0%),1.1,0.7,0.0,1.4,2.0,0,0,1,0.1 (25%),3.6 (47%),1.1 (26%),2.4 (77%),6.6,0.9,0.4,0.0,2,0,0,
marc-bartra,Real Betis,ESP,29,183 cm,Right,D,5,23M €,23,22,86,2,987 min,0.09,0.6,2,1,69.0,3,0.2,45.3 (84%),33.3 (90%),12.0 (72%),3.3 (46%),2.7 (49%),0.0 (0%),1.3,2.2,0.0,0.9,4.4,0,0,1,0.5 (75%),7.0 (60%),3.7 (60%),3.4 (60%),10.0,1.1,1.1,0.0,5,0,0
aissa-mandi,Real Betis,ALG,28,186 cm,Right,D,23,21M €,22,22,89,0,0.0,0.3,2,0,70.7,1,0.2,53.6 (90%),39.4 (93%),14.2 (82%),4.3 (60%),2.3 (56%),0.0 (0%),1.5,1.2,0.0,0.4,3.2,0,0,0,0.2 (100%),4.0 (57%),2.0 (56%),2.0 (57%),7.0,1.0,0.6,0.2,8,0,0,
emerson,Real Betis,BRA,21,183 cm,Right,D,22,16.2M €,23,23,88,3,675 min,0.1,0.7,1,5,63.5,8,0.9,28.2 (77%),13.3 (78%),15.4 (70%),1.6 (50%),1.3 (53%),0.5 (23%),0.9,2.1,0.1,1.5,1.7,0,0,0,0.4 (33%),7.1 (57%),5.1 (55%),2.0 (64%),14.3,1.3,2.6,0.0,8,0,0
sidnei,Real Betis,BRA,30,186 cm,Right,D,12,9.6M €,9,9,86,1,772 min,0.1,0.2,0,0,70.8,0,0.0,50.9 (89%),39.7 (95%),11.2 (73%),5.1 (66%),3.7 (57%),0.0 (0%),1.7,1.7,0.1,0.3,4.2,0,0,1,0.2 (50%),5.0 (73%),2.2 (63%),2.8 (83%),7.3,0.7,0.4,0.0,0,0,0
alex-moreno,Real Betis,ESP,26,179 cm,Left,D,15,7.2M €,23,20,78,0,0.0,0.7,5,4,59.2,4,0.9,26.6 (79%),12.3 (84%),15.0 (70%),1.0 (33%),0.9 (41%),0.7 (29%),0.7,1.4,0.2,0.8,1.6,0,1,2,1.6 (55%),5.0 (50%),4.2 (52%),0.7 (43%),14.0,1.1,1.2,0.2,3,0,0,
